Country;Area;Moody_rating;Rating-based_defSpread;EquityRisk_prem;CountryRisk_Premium;Sovereign_CDS;EquityRisk_prem2;CountryRisk_Premium2;rgdpe;tax_rate
Jersey (States of);Western Europe;Aa3;0.006412164;0.059094468;0.009094468;NA;NA;NA;4890;0
Jordan;Middle East;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;47451.49986;0.2
Kazakhstan;Eastern Europe & Russia;Baa2;0.02036805;0.078888311;0.028888311;0.0125;0.067728938;0.017728938;220623.002;0.2
Kenya;Africa;B3;0.069527972;0.148612566;0.098612566;0.0742;0.155238973;0.105238973;113420.0082;0.3
Korea;Asia;Aa2;0.005280606;0.057489562;0.007489562;0;0.05;0;1665245.539;0.25
Kuwait;Middle East;A1;0.007543722;0.060699374;0.010699374;0.0027;0.053829451;0.003829451;184558.2743;0.15
Kyrgyzstan;Eastern Europe & Russia;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;10930.64492;0.1
Laos;Asia;Caa3;0.106995126;0.201752792;0.151752792;NA;NA;NA;15724.38378;0.2281
Latvia;Eastern Europe & Russia;A3;0.012824328;0.068188936;0.018188936;0.0052;0.057375238;0.007375238;41153.91266;0.2
Lebanon;Middle East;C;0.175;0.298205125;0.248205125;NA;NA;NA;23131.94156;0.17
Liechtenstein;Western Europe;Aaa;0;0.05;0;NA;NA;NA;7186.428783;0.125
Lithuania;Eastern Europe & Russia;A2;0.009052467;0.062839249;0.012839249;0.0052;0.057375238;0.007375238;70334.29901;0.15
Luxembourg;Western Europe;Aaa;0;0.05;0;NA;NA;NA;82274.81225;0.2494
Macao;Asia;Aa3;0.006412164;0.059094468;0.009094468;NA;NA;NA;21979.47556;0.2281
Macedonia;Eastern Europe & Russia;Ba3;0.038472983;0.104566809;0.054566809;NA;NA;NA;13563.13206;0.1
Malaysia;Asia;A3;0.012824328;0.068188936;0.018188936;0.0057;0.058084396;0.008084396;406305.9247;0.24
Maldives;Asia;Caa1;0.080214912;0.163770013;0.113770013;NA;NA;NA;6189.865408;0.2281
Mali;Africa;Caa2;0.096308186;0.186595345;0.136595345;NA;NA;NA;18827.17653;0.2281
Malta;Western Europe;A2;0.009052467;0.062839249;0.012839249;NA;NA;NA;17765.27001;0.35
Mauritius;Africa;Baa3;0.023511267;0.083346383;0.033346383;NA;NA;NA;12898.30709;0.15
Mexico;Central and South America;Baa2;0.02036805;0.078888311;0.028888311;0.0145;0.070565568;0.020565568;1414187.194;0.3
Moldova;Eastern Europe & Russia;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;14420.94788;0.12
Mongolia;Asia;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;16810.88336;0.25
Montenegro;Eastern Europe & Russia;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;6095.978868;0.15
Montserrat;Caribbean;Baa3;0.023511267;0.083346383;0.033346383;NA;NA;NA;16199;0.2718
Morocco;Africa;Ba1;0.026780214;0.087982779;0.037982779;0.0152;0.071558388;0.021558388;134181.5878;0.31
Mozambique;Africa;Caa2;0.096308186;0.186595345;0.136595345;NA;NA;NA;17851.49143;0.32
Namibia;Africa;B1;0.048154093;0.118297673;0.068297673;NA;NA;NA;12607.43698;0.32
Netherlands;Western Europe;Aaa;0;0.05;0;0;0.05;0;991114.6355;0.258
New Zealand;Australia & New Zealand;Aaa;0;0.05;0;0;0.05;0;247234.0537;0.28
Nicaragua;Central and South America;B3;0.069527972;0.148612566;0.098612566;0.0477;0.117653626;0.067653626;15671.58388;0.3
Niger;Africa;B3;0.069527972;0.148612566;0.098612566;NA;NA;NA;13969.60558;0.2281
Nigeria;Africa;Caa1;0.080214912;0.163770013;0.113770013;0.0707;0.150274871;0.100274871;477386.1206;0.3
Norway;Western Europe;Aaa;0;0.05;0;0;0.05;0;579267.3659;0.22
Oman;Middle East;Ba2;0.032186548;0.095650664;0.045650664;0.0157;0.072267546;0.022267546;114667.3602;0.15
Pakistan;Asia;Caa3;0.106995126;0.201752792;0.151752792;NA;NA;NA;376532.7518;0.29
Panama;Central and South America;Baa2;0.02036805;0.078888311;0.028888311;0.0129;0.068296264;0.018296264;76522.51178;0.25
Papua New Guinea;Asia;B2;0.058841033;0.133455119;0.083455119;NA;NA;NA;30633.44429;0.3
Paraguay;Central and South America;Ba1;0.026780214;0.087982779;0.037982779;NA;NA;NA;41722.29536;0.1
Peru;Central and South America;Baa1;0.017099104;0.074251915;0.024251915;0.0103;0.064608645;0.014608645;242631.5496;0.295
Philippines;Asia;Baa2;0.02036805;0.078888311;0.028888311;0.0101;0.064324982;0.014324982;404284.3273;0.25
Poland;Eastern Europe & Russia;A2;0.009052467;0.062839249;0.012839249;0.0059;0.058368059;0.008368059;688176.606;0.19
Portugal;Western Europe;Baa2;0.02036805;0.078888311;0.028888311;0.0028;0.053971282;0.003971282;251945.3775;0.21
Qatar;Middle East;Aa3;0.006412164;0.059094468;0.009094468;0.0028;0.053971282;0.003971282;237295.5752;0.1
Ras Al Khaimah (Emirate of);Middle East;A3;0.012824328;0.068188936;0.018188936;NA;NA;NA;11000;0
Romania;Eastern Europe & Russia;Baa3;0.023511267;0.083346383;0.033346383;0.019;0.076947985;0.026947985;301261.5829;0.16
Russia;Eastern Europe & Russia;Ca;0.128369005;0.232067686;0.182067686;NA;NA;NA;2240422.438;0.2
Rwanda;Africa;B2;0.058841033;0.133455119;0.083455119;0.0476;0.117511794;0.067511794;13312.79677;0.3
Saudi Arabia;Middle East;A1;0.007543722;0.060699374;0.010699374;0.0046;0.056524249;0.006524249;1108148.978;0.2
Senegal;Africa;Ba3;0.038472983;0.104566809;0.054566809;0.0496;0.120348424;0.070348424;27684.43024;0.3
Serbia;Eastern Europe & Russia;Ba2;0.032186548;0.095650664;0.045650664;0.0234;0.083188571;0.033188571;63501.74865;0.15
Sharjah;Middle East;Ba1;0.026780214;0.087982779;0.037982779;NA;NA;NA;24800;0
