CCAA;año;edad;sexo;tasa_empleo;tasa_paro;tasa_actividad;;;;;;;;
            10 Comunitat Valenciana;    2016;        De 16 a 19 años;Hombres;8.15;56.24;21.68;;;;;;;;
            11 Extremadura;    2016;        De 16 a 19 años;Hombres;4.33;48.75;19.02;;;;;;;;
            12 Galicia;    2016;        De 16 a 19 años;Hombres;3.64;53.29;10.93;;;;;;;;
            13 Madrid, Comunidad de;    2016;        De 16 a 19 años;Hombres;4.70;64.57;14.42;;;;;;;;
            14 Murcia, Región de;    2016;        De 16 a 19 años;Hombres;9.14;65.18;22.92;;;;;;;;
            15 Navarra, Comunidad Foral de;    2016;        De 16 a 19 años;Hombres;7.61;27.81;15.27;;;;;;;;
            16 País Vasco;    2016;        De 16 a 19 años;Hombres;2.85;61.30;8.06;;;;;;;;
            17 Rioja, La;    2016;        De 16 a 19 años;Hombres;4.59;58.51;12.87;;;;;;;;
            18 Ceuta;    2016;        De 16 a 19 años;Hombres;..;61.18;1.34;;;;;;;;
            19 Melilla;    2016;        De 16 a 19 años;Hombres;1.09;83.14;9.81;;;;;;;;
            01 Andalucía;    2016;        De 20 a 24 años;Hombres;5.35;53.97;16.54;;;;;;;;
            02 Aragón;    2016;        De 20 a 24 años;Hombres;6.02;31.45;15.86;;;;;;;;
            03 Asturias, Principado de;    2016;        De 20 a 24 años;Hombres;4.90;55.82;9.39;;;;;;;;
            04 Balears, Illes;    2016;        De 20 a 24 años;Hombres;7.56;37.40;20.78;;;;;;;;
            05 Canarias;    2016;        De 20 a 24 años;Hombres;6.07;50.28;14.11;;;;;;;;
            06 Cantabria;    2016;        De 20 a 24 años;Hombres;1.65;33.67;4.87;;;;;;;;
            07 Castilla y León;    2016;        De 20 a 24 años;Hombres;5.20;31.25;14.76;;;;;;;;
            08 Castilla - La Mancha;    2016;        De 20 a 24 años;Hombres;4.38;44.65;20.60;;;;;;;;
            09 Cataluña;    2016;        De 20 a 24 años;Hombres;7.59;31.41;20.65;;;;;;;;
            10 Comunitat Valenciana;    2016;        De 20 a 24 años;Hombres;4.38;41.59;17.74;;;;;;;;
            11 Extremadura;    2016;        De 20 a 24 años;Hombres;4.09;49.51;14.46;;;;;;;;
            12 Galicia;    2016;        De 20 a 24 años;Hombres;3.76;37.59;11.01;;;;;;;;
            13 Madrid, Comunidad de;    2016;        De 20 a 24 años;Hombres;5.73;36.87;13.83;;;;;;;;
            14 Murcia, Región de;    2016;        De 20 a 24 años;Hombres;7.64;36.91;18.13;;;;;;;;
            15 Navarra, Comunidad Foral de;    2016;        De 20 a 24 años;Hombres;2.92;33.61;16.04;;;;;;;;
            16 País Vasco;    2016;        De 20 a 24 años;Hombres;3.87;31.55;8.27;;;;;;;;
            17 Rioja, La;    2016;        De 20 a 24 años;Hombres;9.01;36.14;18.23;;;;;;;;
            18 Ceuta;    2016;        De 20 a 24 años;Hombres;3.85;67.35;16.96;;;;;;;;
            19 Melilla;    2016;        De 20 a 24 años;Hombres;..;57.76;4.40;;;;;;;;
            01 Andalucía;    2016;        De 25 a 54 años;Hombres;4.17;23.91;18.82;;;;;;;;
            02 Aragón;    2016;        De 25 a 54 años;Hombres;3.05;11.22;21.67;;;;;;;;
            03 Asturias, Principado de;    2016;        De 25 a 54 años;Hombres;1.89;18.69;11.90;;;;;;;;
            04 Balears, Illes;    2016;        De 25 a 54 años;Hombres;8.36;11.68;20.34;;;;;;;;
            05 Canarias;    2016;        De 25 a 54 años;Hombres;3.62;21.65;17.66;;;;;;;;
            06 Cantabria;    2016;        De 25 a 54 años;Hombres;1.78;14.28;5.89;;;;;;;;
            07 Castilla y León;    2016;        De 25 a 54 años;Hombres;4.96;13.36;15.12;;;;;;;;
            08 Castilla - La Mancha;    2016;        De 25 a 54 años;Hombres;3.86;17.54;19.34;;;;;;;;
            09 Cataluña;    2016;        De 25 a 54 años;Hombres;6.88;12.91;24.93;;;;;;;;
            10 Comunitat Valenciana;    2016;        De 25 a 54 años;Hombres;6.37;16.73;20.30;;;;;;;;
            11 Extremadura;    2016;        De 25 a 54 años;Hombres;6.31;21.52;21.01;;;;;;;;
            12 Galicia;    2016;        De 25 a 54 años;Hombres;4.19;15.51;10.65;;;;;;;;
            13 Madrid, Comunidad de;    2016;        De 25 a 54 años;Hombres;4.92;13.16;17.48;;;;;;;;
            14 Murcia, Región de;    2016;        De 25 a 54 años;Hombres;6.95;14.54;18.68;;;;;;;;
            15 Navarra, Comunidad Foral de;    2016;        De 25 a 54 años;Hombres;3.37;10.06;9.88;;;;;;;;
            16 País Vasco;    2016;        De 25 a 54 años;Hombres;4.90;11.35;10.63;;;;;;;;
            17 Rioja, La;    2016;        De 25 a 54 años;Hombres;9.19;11.14;16.79;;;;;;;;
            18 Ceuta;    2016;        De 25 a 54 años;Hombres;2.22;16.00;19.25;;;;;;;;
            19 Melilla;    2016;        De 25 a 54 años;Hombres;8.81;21.28;13.91;;;;;;;;
            01 Andalucía;    2016;        55 y más años;Hombres;4.78;23.84;21.40;;;;;;;;
            02 Aragón;    2016;        55 y más años;Hombres;2.71;7.81;16.06;;;;;;;;
            03 Asturias, Principado de;    2016;        55 y más años;Hombres;1.47;10.23;4.65;;;;;;;;
            04 Balears, Illes;    2016;        55 y más años;Hombres;5.53;9.75;21.44;;;;;;;;
            05 Canarias;    2016;        55 y más años;Hombres;5.32;25.93;18.54;;;;;;;;
            06 Cantabria;    2016;        55 y más años;Hombres;2.24;9.53;6.39;;;;;;;;
            07 Castilla y León;    2016;        55 y más años;Hombres;7.04;11.22;18.87;;;;;;;;
            08 Castilla - La Mancha;    2016;        55 y más años;Hombres;6.15;20.11;20.74;;;;;;;;
            09 Cataluña;    2016;        55 y más años;Hombres;6.39;13.71;23.32;;;;;;;;
            10 Comunitat Valenciana;    2016;        55 y más años;Hombres;6.75;18.01;20.00;;;;;;;;
            11 Extremadura;    2016;        55 y más años;Hombres;7.76;22.38;21.07;;;;;;;;
            12 Galicia;    2016;        55 y más años;Hombres;6.91;14.36;14.47;;;;;;;;
            13 Madrid, Comunidad de;    2016;        55 y más años;Hombres;3.29;14.33;16.72;;;;;;;;
            14 Murcia, Región de;    2016;        55 y más años;Hombres;5.58;18.42;19.84;;;;;;;;
            15 Navarra, Comunidad Foral de;    2016;        55 y más años;Hombres;3.15;6.83;10.86;;;;;;;;
            16 País Vasco;    2016;        55 y más años;Hombres;4.17;9.28;9.33;;;;;;;;
            17 Rioja, La;    2016;        55 y más años;Hombres;9.20;8.89;22.23;;;;;;;;
            18 Ceuta;    2016;        55 y más años;Hombres;1.05;17.12;18.14;;;;;;;;
            19 Melilla;    2016;        55 y más años;Hombres;3.53;24.00;11.02;;;;;;;;
            01 Andalucía;    2015;        Menores de 25 años;Hombres;8.24;55.08;24.41;;;;;;;;
            02 Aragón;    2015;        Menores de 25 años;Hombres;5.92;35.80;18.83;;;;;;;;
            03 Asturias, Principado de;    2015;        Menores de 25 años;Hombres;5.69;42.40;14.14;;;;;;;;
            04 Balears, Illes;    2015;        Menores de 25 años;Hombres;5.58;46.66;22.82;;;;;;;;
            05 Canarias;    2015;        Menores de 25 años;Hombres;7.85;55.52;21.42;;;;;;;;
            06 Cantabria;    2015;        Menores de 25 años;Hombres;3.33;49.86;10.88;;;;;;;;
            07 Castilla y León;    2015;        Menores de 25 años;Hombres;9.98;44.18;20.54;;;;;;;;
            08 Castilla - La Mancha;    2015;        Menores de 25 años;Hombres;11.23;54.15;23.34;;;;;;;;
            09 Cataluña;    2015;        Menores de 25 años;Hombres;8.19;44.63;25.56;;;;;;;;
            10 Comunitat Valenciana;    2015;        Menores de 25 años;Hombres;5.15;48.78;20.57;;;;;;;;
            11 Extremadura;    2015;        Menores de 25 años;Hombres;6.88;52.19;22.97;;;;;;;;
            12 Galicia;    2015;        Menores de 25 años;Hombres;10.27;45.71;19.44;;;;;;;;
            13 Madrid, Comunidad de;    2015;        Menores de 25 años;Hombres;7.38;46.23;18.08;;;;;;;;
            14 Murcia, Región de;    2015;        Menores de 25 años;Hombres;8.33;47.14;25.04;;;;;;;;
            15 Navarra, Comunidad Foral de;    2015;        Menores de 25 años;Hombres;5.55;40.18;11.01;;;;;;;;
            16 País Vasco;    2015;        Menores de 25 años;Hombres;3.95;43.90;9.95;;;;;;;;
            17 Rioja, La;    2015;        Menores de 25 años;Hombres;5.26;41.72;19.24;;;;;;;;
            18 Ceuta;    2015;        Menores de 25 años;Hombres;4.68;76.23;21.63;;;;;;;;
            19 Melilla;    2015;        Menores de 25 años;Hombres;1.48;62.26;10.38;;;;;;;;
            01 Andalucía;    2015;        25 y más años;Hombres;9.86;26.96;26.98;;;;;;;;
            02 Aragón;    2015;        25 y más años;Hombres;12.61;11.86;22.56;;;;;;;;
            03 Asturias, Principado de;    2015;        25 y más años;Hombres;8.16;18.55;17.29;;;;;;;;
            04 Balears, Illes;    2015;        25 y más años;Hombres;7.83;15.03;30.83;;;;;;;;
            05 Canarias;    2015;        25 y más años;Hombres;6.77;25.70;23.87;;;;;;;;
            06 Cantabria;    2015;        25 y más años;Hombres;7.60;14.92;13.51;;;;;;;;
            07 Castilla y León;    2015;        25 y más años;Hombres;12.96;14.35;22.91;;;;;;;;
            08 Castilla - La Mancha;    2015;        25 y más años;Hombres;13.74;20.17;27.77;;;;;;;;
            09 Cataluña;    2015;        25 y más años;Hombres;9.29;15.81;29.03;;;;;;;;
            10 Comunitat Valenciana;    2015;        25 y más años;Hombres;9.54;19.82;24.92;;;;;;;;
            11 Extremadura;    2015;        25 y más años;Hombres;9.66;23.34;24.30;;;;;;;;
            12 Galicia;    2015;        25 y más años;Hombres;11.81;17.18;20.72;;;;;;;;
            13 Madrid, Comunidad de;    2015;        25 y más años;Hombres;8.33;14.75;21.05;;;;;;;;
            14 Murcia, Región de;    2015;        25 y más años;Hombres;11.67;19.35;27.30;;;;;;;;
            15 Navarra, Comunidad Foral de;    2015;        25 y más años;Hombres;7.31;11.09;14.06;;;;;;;;
            16 País Vasco;    2015;        25 y más años;Hombres;8.43;13.43;13.48;;;;;;;;
            17 Rioja, La;    2015;        25 y más años;Hombres;9.34;12.41;23.60;;;;;;;;
            18 Ceuta;    2015;        25 y más años;Hombres;1.75;17.82;7.16;;;;;;;;
            19 Melilla;    2015;        25 y más años;Hombres;11.84;25.64;24.80;;;;;;;;
            01 Andalucía;    2015;        De 16 a 19 años;Hombres;12.78;66.60;31.38;;;;;;;;
            02 Aragón;    2015;        De 16 a 19 años;Hombres;15.12;57.13;26.78;;;;;;;;
            03 Asturias, Principado de;    2015;        De 16 a 19 años;Hombres;7.69;41.99;20.42;;;;;;;;
            04 Balears, Illes;    2015;        De 16 a 19 años;Hombres;12.22;67.72;32.24;;;;;;;;
            05 Canarias;    2015;        De 16 a 19 años;Hombres;8.75;61.82;23.12;;;;;;;;
            06 Cantabria;    2015;        De 16 a 19 años;Hombres;9.77;69.06;15.11;;;;;;;;
            07 Castilla y León;    2015;        De 16 a 19 años;Hombres;13.12;61.46;24.32;;;;;;;;
            08 Castilla - La Mancha;    2015;        De 16 a 19 años;Hombres;15.52;68.28;33.01;;;;;;;;
            09 Cataluña;    2015;        De 16 a 19 años;Hombres;13.49;64.50;32.55;;;;;;;;
            10 Comunitat Valenciana;    2015;        De 16 a 19 años;Hombres;14.13;62.40;31.80;;;;;;;;
            11 Extremadura;    2015;        De 16 a 19 años;Hombres;15.34;77.25;27.73;;;;;;;;
            12 Galicia;    2015;        De 16 a 19 años;Hombres;15.14;66.70;25.64;;;;;;;;
            13 Madrid, Comunidad de;    2015;        De 16 a 19 años;Hombres;13.07;67.37;27.98;;;;;;;;
            14 Murcia, Región de;    2015;        De 16 a 19 años;Hombres;12.45;60.12;28.55;;;;;;;;
            15 Navarra, Comunidad Foral de;    2015;        De 16 a 19 años;Hombres;17.39;50.19;31.36;;;;;;;;
            16 País Vasco;    2015;        De 16 a 19 años;Hombres;10.03;64.58;16.79;;;;;;;;
            17 Rioja, La;    2015;        De 16 a 19 años;Hombres;13.89;64.32;30.91;;;;;;;;
            18 Ceuta;    2015;        De 16 a 19 años;Hombres;4.25;100.00;13.45;;;;;;;;
            19 Melilla;    2015;        De 16 a 19 años;Hombres;0.18;88.93;6.09;;;;;;;;
            01 Andalucía;    2015;        De 20 a 24 años;Hombres;22.64;52.72;38.02;;;;;;;;
            02 Aragón;    2015;        De 20 a 24 años;Hombres;21.38;32.08;31.45;;;;;;;;
            03 Asturias, Principado de;    2015;        De 20 a 24 años;Hombres;15.79;42.46;24.53;;;;;;;;
            04 Balears, Illes;    2015;        De 20 a 24 años;Hombres;23.79;41.12;36.80;;;;;;;;
            05 Canarias;    2015;        De 20 a 24 años;Hombres;12.45;54.41;25.98;;;;;;;;
            06 Cantabria;    2015;        De 20 a 24 años;Hombres;12.18;47.94;16.53;;;;;;;;
            07 Castilla y León;    2015;        De 20 a 24 años;Hombres;18.23;40.65;26.15;;;;;;;;
            08 Castilla - La Mancha;    2015;        De 20 a 24 años;Hombres;25.30;50.94;36.28;;;;;;;;
            09 Cataluña;    2015;        De 20 a 24 años;Hombres;22.69;39.44;35.25;;;;;;;;
            10 Comunitat Valenciana;    2015;        De 20 a 24 años;Hombres;23.90;45.02;38.43;;;;;;;;
            11 Extremadura;    2015;        De 20 a 24 años;Hombres;25.41;46.46;34.81;;;;;;;;
            12 Galicia;    2015;        De 20 a 24 años;Hombres;20.42;42.37;28.09;;;;;;;;
            13 Madrid, Comunidad de;    2015;        De 20 a 24 años;Hombres;20.02;42.58;28.49;;;;;;;;
            14 Murcia, Región de;    2015;        De 20 a 24 años;Hombres;27.26;43.47;41.44;;;;;;;;
            15 Navarra, Comunidad Foral de;    2015;        De 20 a 24 años;Hombres;13.88;37.50;23.05;;;;;;;;
            16 País Vasco;    2015;        De 20 a 24 años;Hombres;12.56;41.23;18.57;;;;;;;;
            17 Rioja, La;    2015;        De 20 a 24 años;Hombres;8.85;37.77;21.00;;;;;;;;
            18 Ceuta;    2015;        De 20 a 24 años;Hombres;16.02;75.78;27.54;;;;;;;;
            19 Melilla;    2015;        De 20 a 24 años;Hombres;7.05;58.82;17.70;;;;;;;;
            01 Andalucía;    2015;        De 25 a 54 años;Hombres;28.84;27.10;38.44;;;;;;;;
            02 Aragón;    2015;        De 25 a 54 años;Hombres;25.58;13.12;33.90;;;;;;;;
            03 Asturias, Principado de;    2015;        De 25 a 54 años;Hombres;14.49;19.43;19.65;;;;;;;;
            04 Balears, Illes;    2015;        De 25 a 54 años;Hombres;31.50;15.49;40.63;;;;;;;;
            05 Canarias;    2015;        De 25 a 54 años;Hombres;24.09;25.72;34.47;;;;;;;;
            06 Cantabria;    2015;        De 25 a 54 años;Hombres;18.72;15.33;21.86;;;;;;;;
            07 Castilla y León;    2015;        De 25 a 54 años;Hombres;19.89;14.78;27.23;;;;;;;;
            08 Castilla - La Mancha;    2015;        De 25 a 54 años;Hombres;31.92;19.98;39.94;;;;;;;;
            09 Cataluña;    2015;        De 25 a 54 años;Hombres;27.54;15.39;35.76;;;;;;;;
            10 Comunitat Valenciana;    2015;        De 25 a 54 años;Hombres;32.02;19.43;42.49;;;;;;;;
            11 Extremadura;    2015;        De 25 a 54 años;Hombres;21.27;23.60;28.69;;;;;;;;
            12 Galicia;    2015;        De 25 a 54 años;Hombres;25.48;17.49;32.41;;;;;;;;
            13 Madrid, Comunidad de;    2015;        De 25 a 54 años;Hombres;24.80;15.13;32.16;;;;;;;;
            14 Murcia, Región de;    2015;        De 25 a 54 años;Hombres;32.39;19.01;42.47;;;;;;;;
            15 Navarra, Comunidad Foral de;    2015;        De 25 a 54 años;Hombres;24.92;12.12;28.50;;;;;;;;
            16 País Vasco;    2015;        De 25 a 54 años;Hombres;12.94;14.64;16.50;;;;;;;;
            17 Rioja, La;    2015;        De 25 a 54 años;Hombres;28.81;11.76;36.12;;;;;;;;
            18 Ceuta;    2015;        De 25 a 54 años;Hombres;25.87;17.20;42.69;;;;;;;;
            19 Melilla;    2015;        De 25 a 54 años;Hombres;15.15;27.78;27.92;;;;;;;;
            01 Andalucía;    2015;        55 y más años;Hombres;29.41;26.15;37.97;;;;;;;;
            02 Aragón;    2015;        55 y más años;Hombres;22.03;6.01;27.95;;;;;;;;
            03 Asturias, Principado de;    2015;        55 y más años;Hombres;11.69;14.36;15.81;;;;;;;;
            04 Balears, Illes;    2015;        55 y más años;Hombres;33.65;12.71;44.39;;;;;;;;
            05 Canarias;    2015;        55 y más años;Hombres;22.57;25.61;34.77;;;;;;;;
            06 Cantabria;    2015;        55 y más años;Hombres;16.41;13.10;21.17;;;;;;;;
            07 Castilla y León;    2015;        55 y más años;Hombres;23.20;12.58;28.19;;;;;;;;
            08 Castilla - La Mancha;    2015;        55 y más años;Hombres;34.01;21.18;40.78;;;;;;;;
            09 Cataluña;    2015;        55 y más años;Hombres;26.72;17.89;34.37;;;;;;;;
            10 Comunitat Valenciana;    2015;        55 y más años;Hombres;28.10;21.88;37.88;;;;;;;;
            11 Extremadura;    2015;        55 y más años;Hombres;24.38;22.06;36.08;;;;;;;;
            12 Galicia;    2015;        55 y más años;Hombres;20.42;15.67;23.88;;;;;;;;
            13 Madrid, Comunidad de;    2015;        55 y más años;Hombres;22.62;12.80;30.91;;;;;;;;
            14 Murcia, Región de;    2015;        55 y más años;Hombres;26.83;21.43;34.81;;;;;;;;
            15 Navarra, Comunidad Foral de;    2015;        55 y más años;Hombres;29.61;6.10;33.23;;;;;;;;
            16 País Vasco;    2015;        55 y más años;Hombres;14.37;7.94;22.60;;;;;;;;
            17 Rioja, La;    2015;        55 y más años;Hombres;22.04;15.29;29.21;;;;;;;;
            18 Ceuta;    2015;        55 y más años;Hombres;15.02;21.58;34.69;;;;;;;;
            19 Melilla;    2015;        55 y más años;Hombres;23.22;18.24;34.50;;;;;;;;
            01 Andalucía;    2014;        Menores de 25 años;Hombres;34.28;61.85;53.65;;;;;;;;
            02 Aragón;    2014;        Menores de 25 años;Hombres;51.87;51.87;61.02;;;;;;;;
            03 Asturias, Principado de;    2014;        Menores de 25 años;Hombres;36.41;44.31;48.99;;;;;;;;
            04 Balears, Illes;    2014;        Menores de 25 años;Hombres;47.48;42.93;59.08;;;;;;;;
            05 Canarias;    2014;        Menores de 25 años;Hombres;38.02;57.57;58.50;;;;;;;;
            06 Cantabria;    2014;        Menores de 25 años;Hombres;34.91;53.78;43.67;;;;;;;;
            07 Castilla y León;    2014;        Menores de 25 años;Hombres;38.73;47.99;50.78;;;;;;;;
            08 Castilla - La Mancha;    2014;        Menores de 25 años;Hombres;44.47;62.81;60.59;;;;;;;;
            09 Cataluña;    2014;        Menores de 25 años;Hombres;53.72;48.50;66.46;;;;;;;;
            10 Comunitat Valenciana;    2014;        Menores de 25 años;Hombres;48.17;57.67;62.26;;;;;;;;
            11 Extremadura;    2014;        Menores de 25 años;Hombres;37.33;54.77;50.31;;;;;;;;
            12 Galicia;    2014;        Menores de 25 años;Hombres;39.05;48.91;50.23;;;;;;;;
            13 Madrid, Comunidad de;    2014;        Menores de 25 años;Hombres;44.14;46.91;59.65;;;;;;;;
            14 Murcia, Región de;    2014;        Menores de 25 años;Hombres;46.95;48.54;59.87;;;;;;;;
            15 Navarra, Comunidad Foral de;    2014;        Menores de 25 años;Hombres;44.70;54.34;58.33;;;;;;;;
            16 País Vasco;    2014;        Menores de 25 años;Hombres;42.37;46.62;54.83;;;;;;;;
            17 Rioja, La;    2014;        Menores de 25 años;Hombres;44.42;45.00;62.31;;;;;;;;
            18 Ceuta;    2014;        Menores de 25 años;Hombres;33.52;58.11;58.04;;;;;;;;
            19 Melilla;    2014;        Menores de 25 años;Hombres;28.47;35.49;54.06;;;;;;;;
            01 Andalucía;    2014;        25 y más años;Hombres;37.01;30.10;51.82;;;;;;;;
            02 Aragón;    2014;        25 y más años;Hombres;48.09;16.12;58.79;;;;;;;;
            03 Asturias, Principado de;    2014;        25 y más años;Hombres;29.98;19.02;46.84;;;;;;;;
            04 Balears, Illes;    2014;        25 y más años;Hombres;50.17;19.71;66.34;;;;;;;;
            05 Canarias;    2014;        25 y más años;Hombres;29.96;29.84;51.22;;;;;;;;
            06 Cantabria;    2014;        25 y más años;Hombres;36.52;18.35;46.47;;;;;;;;
            07 Castilla y León;    2014;        25 y más años;Hombres;40.18;17.42;52.03;;;;;;;;
            08 Castilla - La Mancha;    2014;        25 y más años;Hombres;47.20;22.93;62.38;;;;;;;;
            09 Cataluña;    2014;        25 y más años;Hombres;53.91;18.39;65.99;;;;;;;;
            10 Comunitat Valenciana;    2014;        25 y más años;Hombres;43.70;22.49;57.02;;;;;;;;
            11 Extremadura;    2014;        25 y más años;Hombres;33.38;24.82;49.96;;;;;;;;
            12 Galicia;    2014;        25 y más años;Hombres;34.50;19.97;49.56;;;;;;;;
            13 Madrid, Comunidad de;    2014;        25 y más años;Hombres;44.00;16.05;60.43;;;;;;;;
            14 Murcia, Región de;    2014;        25 y más años;Hombres;42.56;22.54;53.80;;;;;;;;
            15 Navarra, Comunidad Foral de;    2014;        25 y más años;Hombres;48.91;13.05;60.76;;;;;;;;
            16 País Vasco;    2014;        25 y más años;Hombres;45.99;15.16;60.86;;;;;;;;
            17 Rioja, La;    2014;        25 y más años;Hombres;42.79;13.54;54.54;;;;;;;;
            18 Ceuta;    2014;        25 y más años;Hombres;46.81;26.18;56.73;;;;;;;;
            19 Melilla;    2014;        25 y más años;Hombres;30.69;22.01;60.32;;;;;;;;
            01 Andalucía;    2014;        De 16 a 19 años;Hombres;32.93;67.63;54.89;;;;;;;;
            02 Aragón;    2014;        De 16 a 19 años;Hombres;48.08;62.02;59.78;;;;;;;;
            03 Asturias, Principado de;    2014;        De 16 a 19 años;Hombres;34.44;47.81;45.04;;;;;;;;
            04 Balears, Illes;    2014;        De 16 a 19 años;Hombres;37.81;63.63;53.44;;;;;;;;
            05 Canarias;    2014;        De 16 a 19 años;Hombres;20.55;56.95;44.72;;;;;;;;
            06 Cantabria;    2014;        De 16 a 19 años;Hombres;31.09;66.21;44.38;;;;;;;;
            07 Castilla y León;    2014;        De 16 a 19 años;Hombres;38.56;64.77;52.09;;;;;;;;
            08 Castilla - La Mancha;    2014;        De 16 a 19 años;Hombres;41.90;78.73;56.44;;;;;;;;
            09 Cataluña;    2014;        De 16 a 19 años;Hombres;47.54;63.28;63.86;;;;;;;;
            10 Comunitat Valenciana;    2014;        De 16 a 19 años;Hombres;37.12;75.33;55.51;;;;;;;;
            11 Extremadura;    2014;        De 16 a 19 años;Hombres;29.00;71.72;47.47;;;;;;;;
            12 Galicia;    2014;        De 16 a 19 años;Hombres;31.97;65.84;45.24;;;;;;;;
            13 Madrid, Comunidad de;    2014;        De 16 a 19 años;Hombres;40.98;58.59;55.74;;;;;;;;
            14 Murcia, Región de;    2014;        De 16 a 19 años;Hombres;46.78;57.86;59.47;;;;;;;;
            15 Navarra, Comunidad Foral de;    2014;        De 16 a 19 años;Hombres;46.03;81.80;60.01;;;;;;;;
            16 País Vasco;    2014;        De 16 a 19 años;Hombres;39.48;53.22;57.72;;;;;;;;
            17 Rioja, La;    2014;        De 16 a 19 años;Hombres;48.41;50.60;62.25;;;;;;;;
            18 Ceuta;    2014;        De 16 a 19 años;Hombres;22.29;77.31;41.59;;;;;;;;
            19 Melilla;    2014;        De 16 a 19 años;Hombres;35.85;100.00;54.73;;;;;;;;
            01 Andalucía;    2014;        De 20 a 24 años;Hombres;28.37;60.74;50.80;;;;;;;;
            02 Aragón;    2014;        De 20 a 24 años;Hombres;49.46;49.65;63.75;;;;;;;;
            03 Asturias, Principado de;    2014;        De 20 a 24 años;Hombres;25.30;43.79;40.86;;;;;;;;
            04 Balears, Illes;    2014;        De 20 a 24 años;Hombres;37.33;38.13;56.87;;;;;;;;
            05 Canarias;    2014;        De 20 a 24 años;Hombres;23.37;57.67;48.29;;;;;;;;
            06 Cantabria;    2014;        De 20 a 24 años;Hombres;27.24;52.92;46.94;;;;;;;;
            07 Castilla y León;    2014;        De 20 a 24 años;Hombres;35.56;44.67;50.45;;;;;;;;
            08 Castilla - La Mancha;    2014;        De 20 a 24 años;Hombres;35.43;58.88;53.48;;;;;;;;
            09 Cataluña;    2014;        De 20 a 24 años;Hombres;42.75;45.01;63.69;;;;;;;;
            10 Comunitat Valenciana;    2014;        De 20 a 24 años;Hombres;39.75;53.90;58.05;;;;;;;;
            11 Extremadura;    2014;        De 20 a 24 años;Hombres;32.08;51.81;53.43;;;;;;;;
            12 Galicia;    2014;        De 20 a 24 años;Hombres;31.64;46.50;44.85;;;;;;;;
            13 Madrid, Comunidad de;    2014;        De 20 a 24 años;Hombres;36.52;44.85;50.10;;;;;;;;
            14 Murcia, Región de;    2014;        De 20 a 24 años;Hombres;43.25;46.45;58.56;;;;;;;;
            15 Navarra, Comunidad Foral de;    2014;        De 20 a 24 años;Hombres;34.19;47.57;47.01;;;;;;;;
            16 País Vasco;    2014;        De 20 a 24 años;Hombres;34.49;45.70;49.29;;;;;;;;
            17 Rioja, La;    2014;        De 20 a 24 años;Hombres;48.12;43.73;61.32;;;;;;;;
            18 Ceuta;    2014;        De 20 a 24 años;Hombres;17.12;53.79;43.23;;;;;;;;
            19 Melilla;    2014;        De 20 a 24 años;Hombres;9.82;30.52;45.67;;;;;;;;
            01 Andalucía;    2014;        De 25 a 54 años;Hombres;35.95;30.28;55.05;;;;;;;;
            02 Aragón;    2014;        De 25 a 54 años;Hombres;50.38;16.68;66.19;;;;;;;;
            03 Asturias, Principado de;    2014;        De 25 a 54 años;Hombres;36.07;20.11;48.07;;;;;;;;
            04 Balears, Illes;    2014;        De 25 a 54 años;Hombres;52.73;19.19;69.46;;;;;;;;
            05 Canarias;    2014;        De 25 a 54 años;Hombres;41.18;29.83;64.11;;;;;;;;
            06 Cantabria;    2014;        De 25 a 54 años;Hombres;29.43;18.78;39.93;;;;;;;;
            07 Castilla y León;    2014;        De 25 a 54 años;Hombres;41.31;18.07;54.49;;;;;;;;
            08 Castilla - La Mancha;    2014;        De 25 a 54 años;Hombres;40.35;22.72;58.08;;;;;;;;
            09 Cataluña;    2014;        De 25 a 54 años;Hombres;50.12;18.33;67.85;;;;;;;;
            10 Comunitat Valenciana;    2014;        De 25 a 54 años;Hombres;43.65;22.94;57.31;;;;;;;;
            11 Extremadura;    2014;        De 25 a 54 años;Hombres;36.96;25.44;55.30;;;;;;;;
            12 Galicia;    2014;        De 25 a 54 años;Hombres;36.55;20.63;49.43;;;;;;;;
            13 Madrid, Comunidad de;    2014;        De 25 a 54 años;Hombres;40.80;16.24;55.17;;;;;;;;
            14 Murcia, Región de;    2014;        De 25 a 54 años;Hombres;46.59;22.78;63.65;;;;;;;;
            15 Navarra, Comunidad Foral de;    2014;        De 25 a 54 años;Hombres;40.81;13.85;51.85;;;;;;;;
            16 País Vasco;    2014;        De 25 a 54 años;Hombres;38.33;16.14;51.56;;;;;;;;
            17 Rioja, La;    2014;        De 25 a 54 años;Hombres;46.96;13.86;60.46;;;;;;;;
            18 Ceuta;    2014;        De 25 a 54 años;Hombres;16.18;28.69;45.69;;;;;;;;
            19 Melilla;    2014;        De 25 a 54 años;Hombres;19.18;22.54;51.09;;;;;;;;
            01 Andalucía;    2014;        55 y más años;Hombres;30.84;29.02;54.86;;;;;;;;
            02 Aragón;    2014;        55 y más años;Hombres;46.26;13.28;60.49;;;;;;;;
            03 Asturias, Principado de;    2014;        55 y más años;Hombres;28.62;13.61;41.08;;;;;;;;
            04 Balears, Illes;    2014;        55 y más años;Hombres;51.23;22.59;70.77;;;;;;;;
            05 Canarias;    2014;        55 y más años;Hombres;33.92;29.89;56.36;;;;;;;;
            06 Cantabria;    2014;        55 y más años;Hombres;23.75;16.28;34.10;;;;;;;;
