CCAA;año;edad;sexo;tasa_empleo;tasa_paro;tasa_actividad;;;;;;;;
            09 Cataluña;2023;        De 20 a 24 años;Hombres;28.15;19.17;43.36;;;;;;;;
            10 Comunitat Valenciana;2023;        De 20 a 24 años;Hombres;25.85;22.63;39.17;;;;;;;;
            11 Extremadura;2023;        De 20 a 24 años;Hombres;20.51;25.81;36.81;;;;;;;;
            12 Galicia;2023;        De 20 a 24 años;Hombres;20.19;22.26;29.33;;;;;;;;
            13 Madrid, Comunidad de;2023;        De 20 a 24 años;Hombres;23.00;26.00;33.06;;;;;;;;
            14 Murcia, Región de;2023;        De 20 a 24 años;Hombres;27.78;21.58;41.89;;;;;;;;
            15 Navarra, Comunidad Foral de;2023;        De 20 a 24 años;Hombres;20.51;23.37;28.41;;;;;;;;
            16 País Vasco;2023;        De 20 a 24 años;Hombres;21.03;22.72;30.32;;;;;;;;
            17 Rioja, La;2023;        De 20 a 24 años;Hombres;28.73;28.71;38.92;;;;;;;;
            18 Ceuta;2023;        De 20 a 24 años;Hombres;11.12;42.24;30.49;;;;;;;;
            19 Melilla;2023;        De 20 a 24 años;Hombres;5.61;47.34;31.81;;;;;;;;
            01 Andalucía;2023;        De 25 a 54 años;Hombres;23.34;13.08;37.66;;;;;;;;
            02 Aragón;2023;        De 25 a 54 años;Hombres;33.06;5.55;43.96;;;;;;;;
            03 Asturias, Principado de;2023;        De 25 a 54 años;Hombres;21.89;10.45;30.22;;;;;;;;
            04 Balears, Illes;2023;        De 25 a 54 años;Hombres;35.18;8.88;48.11;;;;;;;;
            05 Canarias;2023;        De 25 a 54 años;Hombres;25.12;12.66;42.14;;;;;;;;
            06 Cantabria;2023;        De 25 a 54 años;Hombres;18.10;5.53;24.87;;;;;;;;
            07 Castilla y León;2023;        De 25 a 54 años;Hombres;27.59;6.82;37.76;;;;;;;;
            08 Castilla - La Mancha;2023;        De 25 a 54 años;Hombres;26.46;7.94;40.56;;;;;;;;
            09 Cataluña;2023;        De 25 a 54 años;Hombres;32.93;7.38;45.92;;;;;;;;
            10 Comunitat Valenciana;2023;        De 25 a 54 años;Hombres;29.59;9.22;40.50;;;;;;;;
            11 Extremadura;2023;        De 25 a 54 años;Hombres;24.38;12.99;38.91;;;;;;;;
            12 Galicia;2023;        De 25 a 54 años;Hombres;23.31;8.12;32.49;;;;;;;;
            13 Madrid, Comunidad de;2023;        De 25 a 54 años;Hombres;25.47;7.04;35.54;;;;;;;;
            14 Murcia, Región de;2023;        De 25 a 54 años;Hombres;31.21;10.16;43.44;;;;;;;;
            15 Navarra, Comunidad Foral de;2023;        De 25 a 54 años;Hombres;24.71;8.10;32.40;;;;;;;;
            16 País Vasco;2023;        De 25 a 54 años;Hombres;23.99;5.22;32.92;;;;;;;;
            17 Rioja, La;2023;        De 25 a 54 años;Hombres;29.48;6.42;40.39;;;;;;;;
            18 Ceuta;2023;        De 25 a 54 años;Hombres;9.86;21.62;30.09;;;;;;;;
            19 Melilla;2023;        De 25 a 54 años;Hombres;10.49;19.82;33.41;;;;;;;;
            01 Andalucía;2023;        55 y más años;Hombres;20.00;14.75;37.66;;;;;;;;
            02 Aragón;2023;        55 y más años;Hombres;30.80;4.52;41.69;;;;;;;;
            03 Asturias, Principado de;2023;        55 y más años;Hombres;16.98;8.60;25.94;;;;;;;;
            04 Balears, Illes;2023;        55 y más años;Hombres;35.18;9.79;50.69;;;;;;;;
            05 Canarias;2023;        55 y más años;Hombres;21.33;12.37;36.59;;;;;;;;
            06 Cantabria;2023;        55 y más años;Hombres;15.92;5.98;22.87;;;;;;;;
            07 Castilla y León;2023;        55 y más años;Hombres;25.58;7.39;36.17;;;;;;;;
            08 Castilla - La Mancha;2023;        55 y más años;Hombres;24.94;10.69;40.84;;;;;;;;
            09 Cataluña;2023;        55 y más años;Hombres;32.32;7.72;45.89;;;;;;;;
            10 Comunitat Valenciana;2023;        55 y más años;Hombres;26.37;9.13;40.88;;;;;;;;
            11 Extremadura;2023;        55 y más años;Hombres;21.24;14.41;37.90;;;;;;;;
            12 Galicia;2023;        55 y más años;Hombres;21.83;7.97;31.48;;;;;;;;
            13 Madrid, Comunidad de;2023;        55 y más años;Hombres;26.57;8.06;38.04;;;;;;;;
            14 Murcia, Región de;2023;        55 y más años;Hombres;25.61;7.68;42.42;;;;;;;;
            15 Navarra, Comunidad Foral de;2023;        55 y más años;Hombres;27.64;5.14;37.88;;;;;;;;
            16 País Vasco;2023;        55 y más años;Hombres;26.29;6.26;35.12;;;;;;;;
            17 Rioja, La;2023;        55 y más años;Hombres;25.71;5.12;34.63;;;;;;;;
            18 Ceuta;2023;        55 y más años;Hombres;11.88;6.13;28.59;;;;;;;;
            19 Melilla;2023;        55 y más años;Hombres;15.97;16.84;41.73;;;;;;;;
            01 Andalucía;2022;        Menores de 25 años;Hombres;19.60;32.56;38.29;;;;;;;;
            02 Aragón;2022;        Menores de 25 años;Hombres;27.09;19.53;38.88;;;;;;;;
            03 Asturias, Principado de;2022;        Menores de 25 años;Hombres;18.76;40.95;30.51;;;;;;;;
            04 Balears, Illes;2022;        Menores de 25 años;Hombres;31.57;26.77;45.89;;;;;;;;
            05 Canarias;2022;        Menores de 25 años;Hombres;19.19;42.90;37.63;;;;;;;;
            06 Cantabria;2022;        Menores de 25 años;Hombres;16.63;24.25;27.44;;;;;;;;
            07 Castilla y León;2022;        Menores de 25 años;Hombres;21.99;26.69;35.47;;;;;;;;
            08 Castilla - La Mancha;2022;        Menores de 25 años;Hombres;25.17;27.83;41.77;;;;;;;;
            09 Cataluña;2022;        Menores de 25 años;Hombres;30.23;22.64;44.81;;;;;;;;
